activity_id,community_id,activity_name_zh,activity_type_code,description_zh,start_date,end_date,recurring,venue_name_zh,address_zh,participant_count,target_groups,evidence_level,source_title,source_url,source_accessed_on,record_status,data_quality_flag,is_example,created_at,updated_at,schema_version,notes
ACT-2023-0001,COM-0007,新忠社區互助共好大家庭,care_service,臺北市政府社會局核定之「新忠社區互助共好大家庭」方案；本紀錄保留核定名稱與預定執行期間。,2023-02-01,2023-12-31,true,,,,,A,112年社區發展及互助共好補助計畫專案五、專案六第一梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5LqU5bCI5qGI5YWt56ys5LiA5qKv5qyh5qC45a6a6KGoKOeZvOaWhykucGRm&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYxMC8yZDc1ZGVlNC04MTZhLTQ5MjgtOTYwYi02NWY3ZjBkYmJlYTgucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2023-001；核定表編號 31，PDF 第 6 頁。 原始預定期間：2023-02-01 至 2023-12-31。 核定金額：新臺幣 400000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2023-0002,COM-0010,社區互助關懷、共創美好社區,care_service,臺北市政府社會局核定之「社區互助關懷、共創美好社區」方案；本紀錄保留核定名稱與預定執行期間。,2023-02-01,2023-12-31,true,,,,,A,112年社區發展及互助共好補助計畫專案五、專案六第一梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5LqU5bCI5qGI5YWt56ys5LiA5qKv5qyh5qC45a6a6KGoKOeZvOaWhykucGRm&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYxMC8yZDc1ZGVlNC04MTZhLTQ5MjgtOTYwYi02NWY3ZjBkYmJlYTgucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2023-002；核定表編號 32，PDF 第 6 頁。 原始預定期間：2023-02-01 至 2023-12-31。 核定金額：新臺幣 300000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2023-0003,COM-0005,忠貞里中正新城社區 A THINKER AND A DOER,education,臺北市政府社會局核定之「忠貞里中正新城社區 A THINKER AND A DOER」方案；本紀錄保留核定名稱與預定執行期間。,2023-04-01,2023-08-31,true,,,,,A,112年度推動社區發展及互助共好補助計畫第三階段第二梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5qC45a6a6KGo56ysM%2BmajuautSjlsIjlm5spLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYwNy9iYTA2NjUxMS03NWZhLTRkZTQtYjY0Ni02ZGNmOGMwMmE0NGQucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2023-003；核定表編號 330，PDF 第 2 頁。 原始預定期間：4–8月。 預計受益人數：250；此值不是實際參與人次。 核定金額：新臺幣 65000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2023-0004,COM-0012,壽德公園青銀共樂繪工作坊,culture,臺北市政府社會局核定之「壽德公園青銀共樂繪工作坊」方案；本紀錄保留核定名稱與預定執行期間。,2023-09-01,2023-11-30,true,,,,,A,112年度推動社區發展及互助共好補助計畫第三階段第二梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5qC45a6a6KGo56ysM%2BmajuautSjlsIjlm5spLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYwNy9iYTA2NjUxMS03NWZhLTRkZTQtYjY0Ni02ZGNmOGMwMmE0NGQucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2023-004；核定表編號 331，PDF 第 2 頁。 原始預定期間：9–11月。 預計受益人數：15；此值不是實際參與人次。 核定金額：新臺幣 98000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2023-0005,COM-0007,長者生命故事共創社區意象地圖,culture,臺北市政府社會局核定之「長者生命故事共創社區意象地圖」方案；本紀錄保留核定名稱與預定執行期間。,2023-05-01,2023-11-30,true,,,,,A,112年度推動社區發展及互助共好補助計畫第三階段第二梯次核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEy5bm05bCI5qGI5qC45a6a6KGo56ysM%2BmajuautSjlsIjlm5spLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvODk2OTYwNy9iYTA2NjUxMS03NWZhLTRkZTQtYjY0Ni02ZGNmOGMwMmE0NGQucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2023-005；核定表編號 332，PDF 第 2 頁。 原始預定期間：5–11月。 預計受益人數：25；此值不是實際參與人次。 核定金額：新臺幣 95000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0001,COM-0010,元宵節活動,culture,臺北市政府社會局核定之「元宵節活動」方案；本紀錄保留核定名稱與預定執行期間。,2024-02-01,2024-02-29,false,,,,,A,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-001；核定表編號 18，PDF 第 2 頁。 原始預定期間：2月擇1日。 預計受益人數：250；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0002,COM-0023,高齡與弱勢關懷暨親子活動,youth_engagement,臺北市政府社會局核定之「高齡與弱勢關懷暨親子活動」方案；本紀錄保留核定名稱與預定執行期間。,,2024-02-24,false,,,,,A,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-002；核定表編號 19，PDF 第 2 頁。 原始預定期間：2月24日前擇1日。 預計受益人數：250；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0003,COM-0004,堀江町社區歡慶活動,culture,臺北市政府社會局核定之「堀江町社區歡慶活動」方案；本紀錄保留核定名稱與預定執行期間。,2024-02-01,2024-06-30,true,,,,,A,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-003；核定表編號 20，PDF 第 2 頁。 原始預定期間：2月及6月各擇1日。 預計受益人數：500；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0004,COM-0017,綠堤里歡慶元宵活動,culture,臺北市政府社會局核定之「綠堤里歡慶元宵活動」方案；本紀錄保留核定名稱與預定執行期間。,2024-02-01,2024-02-29,false,,,,,A,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-004；核定表編號 21，PDF 第 2 頁。 原始預定期間：2月擇1日。 預計受益人數：300；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
ACT-2024-0005,COM-0011,元宵節活動,culture,臺北市政府社會局核定之「元宵節活動」方案；本紀錄保留核定名稱與預定執行期間。,2024-02-01,2024-02-29,false,,,,,A,113年度推動社區發展及互助共好補助計畫第一階段核定表,https://www-ws.gov.taipei/Download.ashx?icon=..pdf&n=MTEz5bm05bqm5o6o5YuV56S%2B5Y2A55m85bGV5Y%2BK5LqS5Yqp5YWx5aW96KOc5Yqp6KiI55Wr56ys5LiA6ZqO5q615qC45a6a6KGoKDExMzAxMjTmoLjlrpopLnBkZg%3D%3D&u=LzAwMS9VcGxvYWQvMzU4L3JlbGZpbGUvNTc4ODEvOTExMzMyNC81ODRjMjhlMi0zMzBhLTRhYmItYmJkZC1kODVkNWFhYmFmNmYucGRm,2026-08-03,verified,low_evidence,false,2026-08-03T12:00:00Z,2026-08-03T12:00:00Z,1.1.0,來源轉錄碼 SRC-ACT-2024-005；核定表編號 22，PDF 第 3 頁。 原始預定期間：2月擇1日。 預計受益人數：400；此值不是實際參與人次。 核定金額：新臺幣 20000 元；本 Sprint 不以金額評估成效。 證據只支持方案獲核定與預定執行期間，未查得核銷或成果資料，不得解讀為已執行或完成。
