community_sdg_id,activity_id,review_decision,reviewed_sdg_goal,reviewed_sdg_target,reviewed_alignment_type,reviewed_confidence_score,evidence_level,evidence_title,evidence_url,review_rationale_zh,reviewer_role,reviewed_on,second_review_status,second_reviewer_role,second_reviewed_on,notes,schema_version
SDG-CAND-ACT-2023-0001,ACT-2023-0001,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2023-0002,ACT-2023-0002,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2023-0003,ACT-2023-0003,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2023-0004,ACT-2023-0004,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2023-0005,ACT-2023-0005,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0001,ACT-2024-0001,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0002,ACT-2024-0002,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0003,ACT-2024-0003,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0004,ACT-2024-0004,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0005,ACT-2024-0005,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0006,ACT-2024-0006,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0007,ACT-2024-0007,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0008,ACT-2024-0008,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0009,ACT-2024-0009,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0010,ACT-2024-0010,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0011,ACT-2024-0011,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0012,ACT-2024-0012,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0013,ACT-2024-0013,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0014,ACT-2024-0014,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0015,ACT-2024-0015,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0016,ACT-2024-0016,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0017,ACT-2024-0017,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0018,ACT-2024-0018,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0019,ACT-2024-0019,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0020,ACT-2024-0020,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0021,ACT-2024-0021,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0022,ACT-2024-0022,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0023,ACT-2024-0023,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0024,ACT-2024-0024,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0025,ACT-2024-0025,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0026,ACT-2024-0026,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0027,ACT-2024-0027,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0028,ACT-2024-0028,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0029,ACT-2024-0029,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2024-0030,ACT-2024-0030,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0001,ACT-2025-0001,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0002,ACT-2025-0002,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0003,ACT-2025-0003,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0004,ACT-2025-0004,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0005,ACT-2025-0005,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0006,ACT-2025-0006,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0007,ACT-2025-0007,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0008,ACT-2025-0008,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0009,ACT-2025-0009,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2025-0010,ACT-2025-0010,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2026-0001,ACT-2026-0001,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2026-0002,ACT-2026-0002,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2026-0003,ACT-2026-0003,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2026-0004,ACT-2026-0004,accept,,,,,,,,,,,not_assessed,,,,1.0.0
SDG-CAND-ACT-2026-0005,ACT-2026-0005,accept,,,,,,,,,,,not_assessed,,,,1.0.0
