community_id,association_name_zh,government_activity_record_count,government_activity_years,government_service_url,official_website_url,official_facebook_url,self_managed_source_status,todo
COM-0001,臺北市萬華區華江社區發展協會,1,2024,https://esp.gov.taipei/openData/orgInfo/854,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0002,臺北市萬華區富福社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0003,臺北市萬華區雙園社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0004,臺北市萬華區堀江町社區發展協會,2,2024;2025,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0005,臺北市萬華區中正新城社區發展協會,7,2023;2024;2025;2026,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0006,臺北市萬華區忠貞社區發展協會,2,2024;2025,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0007,臺北市萬華區新忠社區發展協會,9,2023;2024;2025;2026,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0008,臺北市萬華區忠恕社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0009,臺北市萬華區全德家園社區發展協會,0,,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0010,臺北市萬華區保德社區發展協會,6,2023;2024;2025;2026,https://esp.gov.taipei/openData/orgInfo/1381,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0011,臺北市萬華區壽德社區發展協會,4,2024;2026,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0012,臺北市萬華區萬大社區發展協會,1,2023,https://esp.gov.taipei/openData/orgInfo/1378,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
COM-0013,臺北市萬華區好厝邊社區發展協會,2,2024,,,,todo_not_verified,查證由協會自主管理且可公開再利用的官方網站與 Facebook；不得以同名頁面直接推定官方身分。
