source_record_id,source_key,source_row,pdf_page,community_id,association_short_name,activity_name_zh,activity_type_code,period_text,start_date,end_date,recurring,planned_beneficiary_count,approved_amount_twd
SRC-ACT-2023-001,S112-P56-1,31,6,COM-0007,新忠,新忠社區互助共好大家庭,care_service,2023-02-01 至 2023-12-31,2023-02-01,2023-12-31,true,,400000
SRC-ACT-2023-002,S112-P56-1,32,6,COM-0010,保德,社區互助關懷、共創美好社區,care_service,2023-02-01 至 2023-12-31,2023-02-01,2023-12-31,true,,300000
SRC-ACT-2023-003,S112-P4-3B2,330,2,COM-0005,中正新城,"忠貞里中正新城社區 A THINKER AND A DOER",education,4–8月,2023-04-01,2023-08-31,true,250,65000
SRC-ACT-2023-004,S112-P4-3B2,331,2,COM-0012,萬大,壽德公園青銀共樂繪工作坊,culture,9–11月,2023-09-01,2023-11-30,true,15,98000
SRC-ACT-2023-005,S112-P4-3B2,332,2,COM-0007,新忠,長者生命故事共創社區意象地圖,culture,5–11月,2023-05-01,2023-11-30,true,25,95000
SRC-ACT-2024-001,S113-STAGE1,18,2,COM-0010,保德,元宵節活動,culture,2月擇1日,2024-02-01,2024-02-29,false,250,20000
SRC-ACT-2024-002,S113-STAGE1,19,2,COM-0023,青年,高齡與弱勢關懷暨親子活動,youth_engagement,2月24日前擇1日,,2024-02-24,false,250,20000
SRC-ACT-2024-003,S113-STAGE1,20,2,COM-0004,堀江町,堀江町社區歡慶活動,culture,2月及6月各擇1日,2024-02-01,2024-06-30,true,500,20000
SRC-ACT-2024-004,S113-STAGE1,21,2,COM-0017,綠堤,綠堤里歡慶元宵活動,culture,2月擇1日,2024-02-01,2024-02-29,false,300,20000
SRC-ACT-2024-005,S113-STAGE1,22,3,COM-0011,壽德,元宵節活動,culture,2月擇1日,2024-02-01,2024-02-29,false,400,20000
SRC-ACT-2024-006,S113-STAGE1,23,3,COM-0006,忠貞,元宵踩街活動,culture,2月擇1日,2024-02-01,2024-02-29,false,400,20000
