roster_number,village_name_zh,association_name_zh,term_number,address_zh
1,華江里,華江社區發展協會,8,長順街14巷1弄2號1樓
2,富福里,富福社區發展協會,6,和平西路三段30巷11號
3,雙園里,雙園社區發展協會,8,莒光路293號1樓
4,雙園里,堀江町社區發展協會,9,萬大路110號4樓
5,新忠里,忠恕社區發展協會,10,中華路二段364巷24弄40號
6,保德里,保德社區發展協會,8,東園街154巷9弄2號
7,壽德里,萬大社區發展協會,5,萬大路387巷39號3樓
8,福音里,福音社區發展協會,8,貴陽街二段82巷20弄2號
9,富民里,艋舺社區發展協會,6,康定路160號10樓
10,綠堤里,綠堤社區發展協會,8,雙園街122巷14號3樓
11,日祥里,日祥社區發展協會,8,青年路178巷60號3樓
12,和平里,和平社區發展協會,9,西園路2段198號之一1樓
13,忠德里,忠德社區發展協會,5,東園街4號2樓
14,騰雲里,馬場町社區發展協會,5,水源路195號4樓之4
15,騰雲里,國興水漾社區發展協會,5,水源路195號7樓之4
16,凌霄里,新國光社區發展協會,4,國興路36號7樓
17,新和里,青年社區發展協會,4,中華路2段416巷11-2號
18,新起里,新起社區發展協會,3,貴陽街2段19號6樓
19,仁德里,好厝邊社區發展協會,4,西寧南路192之3號
20,新安里,展新社區發展協會,4,萬大路187巷1弄13號1樓
21,忠貞里,忠貞社區發展協會,4,青年路106巷26號4樓
22,忠貞里,中正新城社區發展協會,4,青年路66號地下室
23,新忠里,新忠社區發展協會,3,西藏路125巷15號3樓
24,新和里,新和七普拉斯社區發展協會,2,中華路2段416巷11-3號
25,忠德里,忠德友善社區發展協會,2,東園街66巷24弄8號
26,菜園里,菜園社區發展協會,2,內江街150號2樓
27,孝德里,愛在孝德社區發展協會,3,德昌街261巷18號1樓
28,糖廍里,糖廍社區發展協會,2,大理街159巷3號3樓之2
29,西門里,西門社區發展協會,1,成都路60之1號
30,壽德里,壽德社區發展協會,1,長泰街45號
31,日祥里,南一社區發展協會,1,青年路152巷37號4樓之1
32,全德里,全德家園社區發展協會,1,德昌街19號1樓
33,錦德里,我愛加蚋錦德社區發展協會,1,西園路2段281巷30-3號9樓之1
